county,cluster,emp,est
Bucks,1,1407,19
Bucks,2,180,48
Bucks,3,119,19
Bucks,4,227,14
Bucks,5,598,39
Bucks,6,15315,3393
Bucks,8,537,52
Bucks,9,872,87
Bucks,10,14405,1949
Bucks,11,1612,53
Bucks,12,1656,78
Bucks,13,2792,244
Bucks,15,252,38
Bucks,16,4653,1148
Bucks,18,424,59
Bucks,19,49,4
Bucks,20,30,7
Bucks,21,1128,96
Bucks,22,6439,644
Bucks,23,3560,220
Bucks,24,917,160
Bucks,26,12,2
Bucks,27,1214,68
Bucks,28,97,13
Bucks,29,5615,1374
Bucks,30,927,66
Bucks,31,2,1
Bucks,32,1600,135
Bucks,33,50,24
Bucks,34,168,15
Bucks,35,105,19
Bucks,36,333,22
Bucks,37,1327,384
Bucks,38,1612,75
Bucks,39,214,33
Bucks,40,2495,126
Bucks,41,730,116
Bucks,42,131,20
Bucks,44,292,11
Bucks,45,2250,338
Bucks,46,308,10
Bucks,47,208,18
Bucks,48,262,117
Bucks,49,702,41
Bucks,50,37,10
Bucks,51,677,95
Bucks,101,9985,968
Bucks,102,10090,2305
Bucks,103,32170,3276
Bucks,104,1112,86
Bucks,105,3593,504
Bucks,106,5309,1247
Bucks,107,5393,865
Bucks,108,10273,1665
Bucks,109,9482,912
Bucks,110,3100,404
Bucks,111,4494,726
Bucks,112,25328,11196
Bucks,113,13977,345
Bucks,114,6192,1173
Bucks,115,33959,7566
Bucks,116,2842,454
Burlington,1,5240,9
Burlington,2,137,43
Burlington,3,628,9
Burlington,4,209,5
Burlington,5,153,9
Burlington,6,12863,1905
Burlington,8,1393,24
Burlington,9,1013,59
Burlington,10,9644,984
Burlington,11,813,28
Burlington,12,332,33
Burlington,13,1662,200
Burlington,15,256,20
Burlington,16,4854,571
Burlington,17,1,1
Burlington,18,911,28
Burlington,19,2,1
Burlington,20,9,5
Burlington,21,450,35
Burlington,22,3321,405
Burlington,23,1301,113
Burlington,24,1143,88
Burlington,27,745,26
Burlington,28,50,3
Burlington,29,3318,620
Burlington,30,519,27
Burlington,32,500,36
Burlington,33,31,13
Burlington,34,67,8
Burlington,35,31,9
Burlington,36,116,8
Burlington,37,905,217
Burlington,38,951,26
Burlington,39,100,15
Burlington,40,857,48
Burlington,41,279,71
Burlington,42,221,11
Burlington,44,231,9
Burlington,45,3481,216
Burlington,46,107,4
Burlington,47,266,4
Burlington,48,235,65
Burlington,49,528,14
Burlington,50,1278,13
Burlington,51,260,31
Burlington,101,7691,590
Burlington,102,5746,1313
Burlington,103,22494,1706
Burlington,104,1654,74
Burlington,105,3104,343
Burlington,106,3025,689
Burlington,107,3732,405
Burlington,108,7467,900
Burlington,109,8899,515
Burlington,110,1838,234
Burlington,111,2985,432
Burlington,112,16680,5745
Burlington,113,13515,258
Burlington,114,6267,951
Burlington,115,18191,3761
Burlington,116,1348,203
Camden,1,260,4
Camden,2,50,12
Camden,3,138,5
Camden,4,1029,12
Camden,5,49,8
Camden,6,10995,1755
Camden,7,4,1
Camden,8,1155,30
Camden,9,1933,90
Camden,10,8929,1055
Camden,11,269,29
Camden,12,967,34
Camden,13,3361,214
Camden,15,212,23
Camden,16,2934,525
Camden,17,3,2
Camden,18,4858,54
Camden,19,1,1
Camden,20,51,2
Camden,21,442,50
Camden,22,2885,379
Camden,23,1003,89
Camden,24,834,103
Camden,27,201,26
Camden,28,93,5
Camden,29,3633,669
Camden,30,689,29
Camden,32,523,48
Camden,33,62,25
Camden,34,2,2
Camden,35,12,6
Camden,36,588,17
Camden,37,698,232
Camden,38,310,22
Camden,39,231,21
Camden,40,697,39
Camden,41,290,53
Camden,42,32,8
Camden,44,34,6
Camden,45,7700,199
Camden,46,10,3
Camden,47,181,12
Camden,48,195,72
Camden,49,207,19
Camden,50,1151,27
Camden,51,541,34
Camden,101,8663,890
Camden,102,6740,1592
Camden,103,36718,2494
Camden,104,760,55
Camden,105,3528,325
Camden,106,3176,654
Camden,107,3567,483
Camden,108,6819,1015
Camden,109,6547,607
Camden,110,2685,227
Camden,111,2974,495
Camden,112,30904,7071
Camden,113,17101,381
Camden,114,6978,1148
Camden,115,20575,3866
Camden,116,1579,257
Chester,1,344,16
Chester,2,414,66
Chester,3,67,4
Chester,4,85,17
Chester,5,2497,50
Chester,6,24834,3284
Chester,8,558,35
Chester,9,1636,88
Chester,10,16204,1426
Chester,11,1192,37
Chester,12,725,34
Chester,13,3840,244
Chester,14,65,1
Chester,15,167,20
Chester,16,15828,986
Chester,18,2385,61
Chester,19,5,1
Chester,20,25,9
Chester,21,988,65
Chester,22,3314,433
Chester,23,5063,171
Chester,24,3590,136
Chester,27,1011,47
Chester,28,180,11
Chester,29,4791,1054
Chester,30,4183,40
Chester,31,1,1
Chester,32,348,42
Chester,33,62,12
Chester,34,323,6
Chester,35,403,19
Chester,36,650,27
Chester,37,892,296
Chester,38,1210,44
Chester,39,494,26
Chester,40,1385,84
Chester,41,686,88
Chester,42,101,15
Chester,44,26,2
Chester,45,1659,173
Chester,46,167,12
Chester,47,1002,25
Chester,48,235,103
Chester,49,194,19
Chester,50,37,5
Chester,51,786,66
Chester,101,9031,625
Chester,102,7291,1697
Chester,103,25876,2397
Chester,104,1252,70
Chester,105,3279,297
Chester,106,5608,943
Chester,107,5098,605
Chester,108,7552,1086
Chester,109,6322,559
Chester,110,2258,283
Chester,111,4139,479
Chester,112,22954,9440
Chester,113,10702,264
Chester,114,6083,1074
Chester,115,22207,5120
Chester,116,1708,283
Delaware,1,1329,15
Delaware,2,77,17
Delaware,3,27,8
Delaware,4,65,8
Delaware,5,501,17
Delaware,6,11403,2333
Delaware,7,2,1
Delaware,8,965,25
Delaware,9,772,60
Delaware,10,7087,965
Delaware,11,287,26
Delaware,12,405,31
Delaware,13,6511,212
Delaware,14,1,1
Delaware,15,39,11
Delaware,16,4061,816
Delaware,18,564,34
Delaware,19,1,1
Delaware,20,72,3
Delaware,21,382,48
Delaware,22,3148,377
Delaware,23,1546,106
Delaware,24,1662,105
Delaware,26,10,1
Delaware,27,273,24
Delaware,28,121,5
Delaware,29,5070,828
Delaware,30,248,17
Delaware,32,263,33
Delaware,33,72,16
Delaware,34,129,4
Delaware,35,1536,18
Delaware,36,1071,20
Delaware,37,943,285
Delaware,38,1434,35
Delaware,39,273,16
Delaware,40,309,35
Delaware,41,1375,71
Delaware,42,111,6
Delaware,44,9,3
Delaware,45,3053,245
Delaware,46,126,6
Delaware,47,292,5
Delaware,48,323,110
Delaware,49,73,10
Delaware,50,305,16
Delaware,51,63,22
Delaware,101,8753,765
Delaware,102,6860,1731
Delaware,103,32128,2699
Delaware,104,903,57
Delaware,105,1886,282
Delaware,106,2867,739
Delaware,107,5002,623
Delaware,108,7544,1190
Delaware,109,6901,659
Delaware,110,1827,252
Delaware,111,4434,581
Delaware,112,20256,7849
Delaware,113,14769,314
Delaware,114,6106,1124
Delaware,115,24216,5158
Delaware,116,1180,227
Gloucester,1,41,3
Gloucester,2,86,15
Gloucester,3,1,1
Gloucester,4,33,3
Gloucester,5,60,6
Gloucester,6,4761,872
Gloucester,8,186,12
Gloucester,9,1057,67
Gloucester,10,7245,546
Gloucester,11,258,11
Gloucester,12,524,23
Gloucester,13,3139,93
Gloucester,15,149,21
Gloucester,16,783,201
Gloucester,18,561,23
Gloucester,20,10,3
Gloucester,21,358,25
Gloucester,22,1492,187
Gloucester,23,392,23
Gloucester,24,145,26
Gloucester,27,508,12
Gloucester,28,243,5
Gloucester,29,1756,253
Gloucester,30,118,14
Gloucester,32,212,22
Gloucester,33,10,8
Gloucester,34,4,2
Gloucester,35,677,16
Gloucester,36,274,4
Gloucester,37,382,130
Gloucester,38,497,15
Gloucester,39,34,11
Gloucester,40,895,28
Gloucester,41,210,38
Gloucester,42,13,2
Gloucester,45,892,128
Gloucester,46,270,8
Gloucester,47,332,7
Gloucester,48,79,37
Gloucester,49,262,14
Gloucester,50,56,9
Gloucester,51,271,18
Gloucester,101,7531,412
Gloucester,102,3747,785
Gloucester,103,10480,933
Gloucester,104,242,21
Gloucester,105,1856,243
Gloucester,106,1505,383
Gloucester,107,1330,219
Gloucester,108,3496,620
Gloucester,109,5594,306
Gloucester,110,1176,149
Gloucester,111,1783,267
Gloucester,112,7835,3408
Gloucester,113,7400,171
Gloucester,114,2750,549
Gloucester,115,10956,2306
Gloucester,116,414,128
Mercer,1,18,5
Mercer,2,89,12
Mercer,3,1,1
Mercer,4,25,4
Mercer,5,2421,38
Mercer,6,14895,1977
Mercer,8,214,19
Mercer,9,1217,53
Mercer,10,5726,641
Mercer,11,1710,31
Mercer,12,248,19
Mercer,13,13623,319
Mercer,15,177,11
Mercer,16,10471,515
Mercer,18,130,19
Mercer,19,2,1
Mercer,20,40,4
Mercer,21,260,26
Mercer,22,2350,277
Mercer,23,6205,111
Mercer,24,2849,79
Mercer,27,391,24
Mercer,28,106,3
Mercer,29,6795,611
Mercer,30,476,18
Mercer,32,199,16
Mercer,33,203,13
Mercer,34,56,3
Mercer,35,155,11
Mercer,36,515,15
Mercer,37,2250,217
Mercer,38,672,10
Mercer,39,126,14
Mercer,40,354,23
Mercer,41,387,34
Mercer,42,16,6
Mercer,44,5,4
Mercer,45,1020,110
Mercer,46,82,12
Mercer,47,19,2
Mercer,48,139,58
Mercer,49,310,12
Mercer,50,17,6
Mercer,51,262,20
Mercer,101,6630,559
Mercer,102,5687,1186
Mercer,103,24574,1882
Mercer,104,2359,42
Mercer,105,2050,189
Mercer,106,2474,493
Mercer,107,3197,372
Mercer,108,4452,637
Mercer,109,4866,482
Mercer,110,1875,193
Mercer,111,2764,336
Mercer,112,19740,4698
Mercer,113,11255,243
Mercer,114,8919,1087
Mercer,115,14979,2765
Mercer,116,573,130
Montgomery,1,3030,17
Montgomery,2,192,64
Montgomery,3,214,15
Montgomery,4,808,22
Montgomery,5,3170,57
Montgomery,6,38299,5066
Montgomery,7,8,2
Montgomery,8,1116,72
Montgomery,9,3728,151
Montgomery,10,31844,2461
Montgomery,11,1257,60
Montgomery,12,638,64
Montgomery,13,8057,462
Montgomery,14,80,3
Montgomery,15,351,40
Montgomery,16,18655,1942
Montgomery,17,1,1
Montgomery,18,1258,63
Montgomery,19,41,3
Montgomery,20,6,3
Montgomery,21,750,81
Montgomery,22,6801,684
Montgomery,23,6104,279
Montgomery,24,10639,287
Montgomery,26,24,2
Montgomery,27,1828,69
Montgomery,28,3458,16
Montgomery,29,10113,1771
Montgomery,30,2829,64
Montgomery,32,3402,104
Montgomery,33,218,46
Montgomery,34,87,10
Montgomery,35,200,19
Montgomery,36,1210,30
Montgomery,37,2480,585
Montgomery,38,1565,49
Montgomery,39,247,42
Montgomery,40,5271,131
Montgomery,41,500,135
Montgomery,42,299,22
Montgomery,44,34,5
Montgomery,45,2490,226
Montgomery,46,633,15
Montgomery,47,1107,29
Montgomery,48,494,182
Montgomery,49,1737,41
Montgomery,50,28,11
Montgomery,51,379,70
Montgomery,101,13997,1237
Montgomery,102,13544,2971
Montgomery,103,61946,5308
Montgomery,104,2222,147
Montgomery,105,4288,475
Montgomery,106,7628,1435
Montgomery,107,11734,1301
Montgomery,108,11985,1857
Montgomery,109,15294,1278
Montgomery,110,5435,535
Montgomery,111,7476,976
Montgomery,112,47113,15076
Montgomery,113,19546,501
Montgomery,114,14200,2041
Montgomery,115,45111,8938
Montgomery,116,2350,476
Philadelphia,1,166,6
Philadelphia,2,66,37
Philadelphia,3,87,12
Philadelphia,4,284,13
Philadelphia,5,1792,39
Philadelphia,6,25439,3677
Philadelphia,7,4,2
Philadelphia,8,23726,68
Philadelphia,9,4784,76
Philadelphia,10,19392,2061
Philadelphia,11,619,59
Philadelphia,12,1609,65
Philadelphia,13,50109,951
Philadelphia,14,23,3
Philadelphia,15,231,41
Philadelphia,16,9477,1877
Philadelphia,18,2500,97
Philadelphia,19,30,3
Philadelphia,20,8,4
Philadelphia,21,1129,94
Philadelphia,22,15233,1093
Philadelphia,23,443,86
Philadelphia,24,14481,189
Philadelphia,27,2459,41
Philadelphia,28,1078,25
Philadelphia,29,11437,1578
Philadelphia,30,536,46
Philadelphia,32,428,62
Philadelphia,33,204,86
Philadelphia,34,11,2
Philadelphia,35,567,28
Philadelphia,36,1039,29
Philadelphia,37,5623,820
Philadelphia,38,2513,45
Philadelphia,39,374,27
Philadelphia,40,1621,57
Philadelphia,41,1009,126
Philadelphia,42,196,25
Philadelphia,44,34,5
Philadelphia,45,5527,380
Philadelphia,46,580,10
Philadelphia,47,369,16
Philadelphia,48,724,243
Philadelphia,49,251,29
Philadelphia,50,433,22
Philadelphia,51,400,54
Philadelphia,101,24269,3040
Philadelphia,102,15386,4718
Philadelphia,103,102210,5842
Philadelphia,104,4645,109
Philadelphia,105,7114,530
Philadelphia,106,3755,1124
Philadelphia,107,12591,1028
Philadelphia,108,15749,2593
Philadelphia,109,14869,2235
Philadelphia,110,6328,606
Philadelphia,111,9034,1371
Philadelphia,112,71131,20727
Philadelphia,113,30697,793
Philadelphia,114,30640,4328
Philadelphia,115,37536,7525
Philadelphia,116,1937,455
