Id,County,lon,lat
2,Bucks,-75.081623,40.205183
3,Bucks,-74.933363,40.079352
7,Bucks,-74.790736,40.189819
16,Philadelphia,-75.144221,39.904294
19,Gloucester,-75.209129,39.830846
20,Gloucester,-75.259104,39.840863
24,Chester,-75.669125,40.009246
27,Montgomery,-75.632973,40.242126
30,Montgomery,-75.356128,40.266262
31,Mercer,-74.587154,40.19609
37,Camden,-75.125685,39.922526
39,Camden,-75.036365,39.983563
40,Montgomery,-75.301955,40.214874
8,Bucks,-74.743672,40.152442
10,Burlington,-74.831515,40.091167
12,Philadelphia,-75.003513,40.087067
17,Philadelphia,-75.199887,39.908524
18,Philadelphia,-75.222962,39.883563
22,Gloucester,-75.371976,39.777466
34,Delaware,-75.411629,39.819186
35,Delaware,-75.339714,39.854407
1,Bucks,-75.353145,40.457354
4,Bucks,-74.873002,40.09385
5,Bucks,-74.846027,40.127167
6,Bucks,-74.854959,40.191961
9,Burlington,-74.981419,40.019073
11,Burlington,-74.836738,39.97923
13,Philadelphia,-75.122794,40.012335
14,Philadelphia,-75.172337,40.013285
15,Philadelphia,-75.085421,39.983019
21,Gloucester,-75.154099,39.87136
23,Chester,-75.59334,39.968218
25,Chester,-75.827376,39.973309
26,Chester,-75.75808,39.832205
28,Montgomery,-75.318437,40.089183
29,Montgomery,-75.225248,40.225083
32,Mercer,-74.731347,40.236438
33,Delaware,-75.417099,39.849633
36,Delaware,-75.262024,39.895727
38,Camden,-75.079275,39.8585
41,Montgomery,-75.284125,40.257236
42,Philadelphia,-75.061765,40.004621
43,Mercer,-74.814769,40.279548
44,Burlington,-74.914669,39.975585